Date,Last Price
4/9/2018,637
4/6/2018,643
4/5/2018,646
4/4/2018,648
4/3/2018,651
3/29/2018,661
3/28/2018,662
3/27/2018,662
3/26/2018,658
3/23/2018,656
3/22/2018,652
3/21/2018,649
3/20/2018,645
3/19/2018,636
3/16/2018,635
3/15/2018,639
3/14/2018,641
3/13/2018,642
3/12/2018,648
3/9/2018,653
3/8/2018,651
3/7/2018,648
3/6/2018,654
3/5/2018,664
3/2/2018,669
3/1/2018,662
2/28/2018,658
2/27/2018,658
2/26/2018,652
2/23/2018,646
2/22/2018,645
2/21/2018,640
2/20/2018,641
2/19/2018,645
2/16/2018,649
2/15/2018,649
2/14/2018,642
2/13/2018,637
2/12/2018,640
2/9/2018,642
2/8/2018,643
2/7/2018,648
2/6/2018,648
2/5/2018,654
2/2/2018,658
2/1/2018,661
1/31/2018,664
1/30/2018,670
1/29/2018,679
1/26/2018,682
1/25/2018,683
1/24/2018,691
1/23/2018,694
1/22/2018,702
1/19/2018,705
1/18/2018,707
1/17/2018,715
1/16/2018,717
1/15/2018,693
1/12/2018,684
1/11/2018,681
1/10/2018,685
1/9/2018,691
1/8/2018,682
1/5/2018,680
1/4/2018,676
1/3/2018,683
1/2/2018,700
12/22/2017,827
12/21/2017,831
12/20/2017,825
12/19/2017,824
12/18/2017,820
12/15/2017,815
12/14/2017,814
12/13/2017,812
12/12/2017,812
12/11/2017,814
12/8/2017,814
12/7/2017,823
12/6/2017,824
12/5/2017,822
12/4/2017,821
12/1/2017,820
11/30/2017,806
11/29/2017,794
11/28/2017,799
11/27/2017,798
11/24/2017,812
11/23/2017,820
11/22/2017,826
11/21/2017,827
11/20/2017,827
11/17/2017,809
11/16/2017,790
11/15/2017,787
11/14/2017,790
11/13/2017,796
11/10/2017,803
11/9/2017,802
11/8/2017,807
11/7/2017,814
11/6/2017,820
11/3/2017,843
11/2/2017,855
11/1/2017,867
10/31/2017,871
10/30/2017,904
10/27/2017,914
10/26/2017,920
10/25/2017,912
10/24/2017,901
10/23/2017,899
10/20/2017,896
10/19/2017,902
10/18/2017,907
10/17/2017,916
10/16/2017,913
10/13/2017,903
10/12/2017,870
10/11/2017,856
10/10/2017,818
10/9/2017,783
10/6/2017,776
10/5/2017,766
10/4/2017,760
10/3/2017,758
10/2/2017,775
9/29/2017,776
9/28/2017,782
9/27/2017,783
9/26/2017,780
9/25/2017,781
9/22/2017,772
9/21/2017,760
9/20/2017,751
9/19/2017,740
9/18/2017,744
9/15/2017,744
9/14/2017,739
9/13/2017,732
9/12/2017,725
9/11/2017,715
9/8/2017,707
9/7/2017,701
9/6/2017,699
9/5/2017,698
9/4/2017,691
9/1/2017,682
8/31/2017,677
8/30/2017,667
8/29/2017,659
8/25/2017,643
8/24/2017,627
8/23/2017,620
8/22/2017,621
8/21/2017,622
8/18/2017,621
8/17/2017,618
8/16/2017,620
8/15/2017,617
8/14/2017,618
8/11/2017,621
8/10/2017,620
8/9/2017,618
8/8/2017,616
8/7/2017,614
8/4/2017,619
8/3/2017,628
8/2/2017,632
8/1/2017,632
7/31/2017,639
7/28/2017,640
7/27/2017,644
7/26/2017,647
7/25/2017,646
7/24/2017,649
7/21/2017,655
7/20/2017,649
7/19/2017,642
7/18/2017,643
7/17/2017,648
7/14/2017,644
7/13/2017,644
7/12/2017,647
7/11/2017,651
7/10/2017,651
7/7/2017,649
7/6/2017,647
7/5/2017,656
7/4/2017,656
7/3/2017,659
6/30/2017,663
6/29/2017,668
6/28/2017,670
6/27/2017,671
6/26/2017,681
6/23/2017,683
6/22/2017,686
6/21/2017,688
6/20/2017,690
6/19/2017,699
6/16/2017,702
6/15/2017,704
6/14/2017,705
6/13/2017,699
6/12/2017,700
6/9/2017,702
6/8/2017,705
6/7/2017,708
6/6/2017,718
6/5/2017,733
6/2/2017,742
6/1/2017,756
5/31/2017,768
5/30/2017,785
5/26/2017,807
5/25/2017,814
5/24/2017,825
5/23/2017,821
5/22/2017,799
5/19/2017,785
5/18/2017,765
5/17/2017,757
5/16/2017,737
5/15/2017,742
5/12/2017,741
5/11/2017,748
5/10/2017,763
5/9/2017,772
5/8/2017,775
5/5/2017,774
5/4/2017,768
5/3/2017,767
5/2/2017,778
4/28/2017,785
4/27/2017,786
4/26/2017,797
4/25/2017,802
4/24/2017,812
4/21/2017,812
4/20/2017,819
4/19/2017,819
4/18/2017,814
4/13/2017,800
4/12/2017,790
4/11/2017,776
4/10/2017,776
4/7/2017,775
4/6/2017,777
4/5/2017,773
4/4/2017,778
4/3/2017,781
3/31/2017,790
3/30/2017,794
3/29/2017,800
3/28/2017,802
3/27/2017,799
3/24/2017,804
3/23/2017,812
3/22/2017,816
3/21/2017,826
3/20/2017,824
3/17/2017,824
3/16/2017,832
3/15/2017,835
3/14/2017,847
3/13/2017,850
3/10/2017,850
3/9/2017,862
3/8/2017,859
3/7/2017,839
3/6/2017,838
3/3/2017,841
3/2/2017,837
3/1/2017,831
